,iso_639_1,names
0,en,English
2,fr,Français
7,es,Español
11,de,Deutsch
14,ru,Pусский
22,la,Latin
33,nl,Nederlands
39,cn,广州话 / 廣州話
41,zh,普通话
68,hu,Magyar
69,,
71,sq,shqip
72,it,Italiano
86,ko,한국어/조선말
113,fa,فارسی
119,da,Dansk
151,gd,
171,ja,日本語
176,ar,العربية
194,hr,Hrvatski
195,bs,Bosanski
207,mn,
222,ro,Română
228,id,Bahasa indonesia
229,ms,Bahasa melayu
291,mk,
303,sv,svenska
316,he,עִבְרִית
359,kw,
377,cs,Český
388,nv,
392,mi,
408,tl,
422,pl,Polski
432,ga,Gaeilge
435,no,Norsk
491,sk,Slovenčina
517,vi,Tiếng Việt
596,yi,
685,pt,Português
755,hi,हिन्दी
834,ca,Català
855,is,Íslenska
867,af,Afrikaans
882,sr,Srpski
887,bn,বাংলা
1006,wo,Wolof
1059,cy,Cymraeg
1109,th,ภาษาไทย
1202,lv,Latviešu
1262,sw,Kiswahili
1443,bg,български език
1539,el,ελληνικά
1561,ne,
1569,tr,Türkçe
1572,km,
1700,fi,suomi
1706,eo,Esperanto
1895,uk,Український
1954,iu,
1985,ka,ქართული
1999,sh,
2279,bo,
2422,nb,Bokmål
2519,ty,
2633,xx,No Language
2770,si,
3000,as,
3604,gn,
4488,eu,euskera
4557,az,Azərbaycan
4610,mt,Malti
4672,ur,اردو
4924,zu,isiZulu
5103,lo,
5540,xh,
5915,bm,Bamanankan
6201,cr,
6616,ps,پښتو
6666,so,Somali
7743,ku,
7759,hy,
7792,oc,
8304,pa,ਪੰਜਾਬੀ
8425,to,
8445,ce,
8457,qu,
9186,be,беларуская мова
9277,am,
10658,tg,
11785,tt,
12196,se,
12550,ml,
12551,ta,தமிழ்
12893,co,
12973,gl,Galego
13379,dz,
14258,rw,Kinyarwanda
15416,ht,
15571,kk,қазақ
15804,ln,
17072,my,
17232,et,Eesti
17275,sa,
17366,lt,Lietuvikai
18387,fy,
18449,tk,
18460,sl,Slovenščina
19110,te,తెలుగు
19241,ny,
19242,st,
19500,sc,
19695,gu,
19890,ff,Fulfulde
20937,mr,
22184,ug,
22598,ay,
25588,ky,??????
25921,jv,
26475,br,
26607,sg,
29802,lb,
32352,ab,
33369,kn,?????
41171,uz,ozbek
41635,sm,
42788,ki,
47727,tn,
49588,fo,
50360,sn,
52199,bi,
53740,ha,Hausa
53741,ig,
56772,mh,
